name1,name2,street1,street2,city,state,zip,zip4,county,phone,intake+AF8-prompt,intake1,intake2,hotline+AF8-prompt,hotline1,hotline2,website,dir+AF8-prefix,dir+AF8-first,dir+AF8-mi,dir+AF8-last,dir+AF8-suffix,dir+AF8-title,dir+AF8-phone,dir+AF8-fax,dir+AF8-email,mail+AF8-street1,mail+AF8-street2,mail+AF8-city,mail+AF8-state,mail+AF8-zip,mail+AF8-zip4,latitude,longitude,type+AF8-facility,last+AF8-update,adlt,chld,snr,yad,act,cdm,cm,coot,dec,es,fpsy,hs,icm,imr,ipc,lad,nrt,nsc,peer,prs,semp,sh,sps,stu,tcc,tpc,vrs,cit,wi,bmo,du,duo,mo,ih,lmg,osg,sma,tbg,vamc,fem,male,atr,clf,cmhg,csbg,ihs,mc,md,mi,np,osf,pi,scjj,sef,sf,si,smha,swfs,vaf,ghf,mhf,mhsaf,saf,pa,ss,cmhc,ct,hi,hid,hit,msnh,od,odt,oit,omb,omh,op,ores,ort,ph,psy,rd,res,rl,rs,rtca,rtcc,ad,adm,alz,bc,cj,co,dv,gl,hv,mf,mn,ped,ptsd,pw,se,sed,smi,tay,tbi,trma,vet,wn,xa,ah,fx,nx,sp,smon,smop,smpd,at,bmt,cbt,cft,dbt,ect,gt,idd,ipt,ptm,tele,tt,bu,dm,dt,hh,mh,mm,nxn,otpa,sa,vtrl
Human Supports of Idaho Inc,,4477 West Emerald Street,Suite C100,Boise,ID,83706,,Ada,208+AC0-321+AC0-0160,Intake,208+AC0-321+AC0-0160,,,,,,,Gregory,,Dickerson,,,,,,,,,,,,43.610975,+AC0-116.236738,MH,3/5/2015 19:48:32,1,1,1,1,1,,1,1,,,,1,1,,,,,,1,1,,,1,,,,,1,1,,,,,,,,,,,,,,,,,,1,1,,,,,,,1,,,,,,1,,,1,1,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,1,1,1,1,1,1,,,1,1,1,,1,,,,,1,,,,,
Emmett Counseling and,Psychiatric Servs/Payette,501 North 16th Street,Suite 110,Payette,ID,83661,,Payette,208+AC0-642+AC0-2600,Intake,208+AC0-642+AC0-2600,,,,,,,Julie,N,Labernik,,,,,,501 North 16th Street,Suite 110,Payette,ID,83661,,44.080162,+AC0-116.923146,MH,3/5/2015 19:48:32,1,1,1,1,,,1,1,,,1,,,,,,,,,1,,,1,1,,,,,1,,,,,,,,,,,,,,,,,,1,1,1,,,1,,,1,1,,1,,,1,,,1,1,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,1,1,1,1,,,1,1,1,,1,,,,,1,,,,,
Emmett Csl and Psychiatric Services,,2007 East Quail Run Road,Suite 1,Emmett,ID,83617,,Gem,208+AC0-365+AC0-5445,Intake,208+AC0-365+AC0-5445,,,,,,,Julie,,Labernik,,,,,,,,,,,,43.868248,+AC0-116.472734,MH,3/5/2015 19:48:32,1,1,1,1,,,1,1,,,1,,,,,,,,,1,,,1,1,,,,,1,,,,,,,,,,,,,,,,,,1,1,1,,,1,,,1,1,1,1,,,1,,,1,1,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,1,1,1,1,,,1,1,1,,1,,,,,1,,,,,
Community Partnerships of Idaho Inc,,3062 North Five Mile Road,,Boise,ID,83713,,Ada,208+AC0-376+AC0-4999,Intake,208+AC0-376+AC0-4999x251,,,,,,,Joan,,Schramm,,,,,,,,,,,,43.632546,+AC0-116.313484,MH,3/5/2015 19:48:32,1,1,1,1,1,1,1,1,,,1,,1,1,,,,,1,1,,,1,,,,,1,1,,,,,,,,,,,,,,,,,,,1,,,1,,,,1,,,,1,,1,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,,,1,1,1,,1,,,,,1,,,,,
Mental Wellness Clinic of,Coeur d Alene,1104 West Ironwood Drive,,Coeur d Alene,ID,83814,,Kootenai,208+AC0-676+AC0-1003,Intake,208+AC0-676+AC0-1003,,,,,,,,,,,,,,,,,,,,,47.696956,+AC0-116.800085,MH,7/2/2015 15:5:6,1,1,1,1,,,1,,,1,1,,1,,,,,,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,1,,1,1,1,1,,,1,,,1,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,,,1,1,1,,1,,,,,1,,,,,
Region VII Mental Health Services,,720 East Alice Street,,Blackfoot,ID,83221,,Bingham,208+AC0-785+AC0-5871,Intakes,208+AC0-785+AC0-5871,208+AC0-528+AC0-5700,,,,,,Karen,,Bradley,,,,,,P.O. Box 129,,Blackfoot,ID,83221,0129,43.187077,+AC0-112.336324,MH,3/5/2015 19:48:32,1,1,1,1,1,,1,1,,,1,,,,,,,,1,1,,,1,,,1,1,1,1,,,,,,,,1,,,,,,1,1,1,,,1,,,1,1,1,,1,1,1,1,,,1,,,1,1,,,,,,,,,,,1,1,,,,,,,,,,,,,,,1,1,,,,,,,,,,1,1,,,,,,,1,,,1,,,1,,,1,1,,,1,1,1,1,,1,,,,,1,,,,,
Childrens Supportive Services,Reg 7 P,1565 East Lincoln Road,,Idaho Falls,ID,83401,,Bonneville,208+AC0-524+AC0-8996,Intake,208+AC0-524+AC0-8996,,,,,,,Shawna,,Tobin,,,,,,,,,,,,43.511272,+AC0-112.002115,MH,3/5/2015 19:48:32,1,1,1,1,,,1,,1,1,1,,,,,,,,,1,,,1,1,,,,1,,,,,,,,,,,,,,,1,,,,,1,,,1,1,1,1,1,1,1,1,,,1,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,1,,,1,1,1,,,,,,,,,1,,,1,,1,1,1,1,,1,1,1,1,,1,,,,,1,,,,,
Intergrated Behavioral Healthcare PLLC,,1621 North 3rd Street,Suite 1100,Coeur d Alene,ID,83814,,Kootenai,208+AC0-765+AC0-4509,Intake,208+AC0-765+AC0-4509,,,,,,,Craig,R,Stempf,,Ph.D,,,,1621 North 3rd Street,Suite 1100,Coeur d Alene,ID,83814,,47.690946,+AC0-116.782398,MH,3/5/2015 19:48:32,1,1,1,1,,1,1,1,,1,1,,1,1,1,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,1,1,,1,,1,1,1,,1,,,,1,,,,,,,,,,,1,1,,,,,,,,,,,,,1,,1,1,,1,1,1,,1,1,,1,1,1,1,1,,1,,,1,,,,,,1,,1,1,1,,,1,1,1,1,,1,,,,,1,,,,,
Community Mental Health Services,,720 East Lander Street,,Pocatello,ID,83201,,Bannock,208+AC0-478+AC0-2172,Intake,208+AC0-478+AC0-2172,,,,,,,Parris,L,Martin,,,,,,720 East Lander Street,,Pocatello,ID,83201,,42.869088,+AC0-112.444048,MH,3/5/2015 19:48:32,1,1,1,1,,,1,1,1,,1,,,,,,,,1,1,,,1,,,,,1,1,,,,,,,,,,,,,,,,,,1,1,,,,1,,,1,1,1,,,,1,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,1,1,,,,,,,,,1,1,1,1,,,,,,,,,,,,1,1,1,1,1,,,1,1,1,1,,1,,,,,1,,,,,
Access Behavioral Health Services,,3307 Caldwell Boulevard,Suites 103+AC0-104,Nampa,ID,83651,,Canyon,208+AC0-465+AC0-4833,Intake,208+AC0-465+AC0-4833,,,,,www.accessbhs.com,,NIkki,,Tangen,,,,,,1276 West River Street,Suite 100,Boise,ID,83702,,43.61806,+AC0-116.623212,MH,3/5/2015 19:48:32,1,1,1,1,,,1,1,,1,1,1,1,,,,,,1,1,,,1,1,,,,,1,,,,,,,,,,,,,,1,1,1,,1,1,1,,1,1,1,1,1,1,1,1,1,,1,,,,1,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,1,1,1,,,,,,1,,,1,,,1,1,1,1,1,,,1,1,1,1,,1,,,,,1,,,,,
Crosspointe Mental Health LLC,,1363 Fillmore Street,,Twin Falls,ID,83301,3392,Twin Falls,208+AC0-595+AC0-4946,Intake,208+AC0-736+AC0-7090,,,,,http://www.crosspointefamilyservices.com/,,Mark,,Gritton,,Owner,,,,430 Falls Avenue,Suite 100,Twin Falls,ID,83301,,42.585889,+AC0-114.465094,MH,3/5/2015 19:48:32,1,1,1,1,,1,1,1,1,1,1,,1,,1,,,1,,1,,,1,1,1,,1,,1,,,,,,,,,,,,,,1,,,,1,1,1,,1,1,1,,1,1,,1,,,1,,,,1,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,1,,1,1,,,,1,1,1,1,,1,1,1,1,,1,,,,,1,,,,,
Childrens Supportive Services Inc,,207 South Broadway,Suite A,Blackfoot,ID,83221,,Bingham,208+AC0-785+AC0-8550,Intakes,208+AC0-785+AC0-8550,208+AC0-524+AC0-8996,,,,http://childrenssupportiveservices.com,,Shawna,,Tobin,,,,,,207 S Broadway Street,Suite A,Blackfoot,ID,83221,2759,43.187473,+AC0-112.348053,MH,3/5/2015 19:48:32,1,1,,1,,,1,1,,,1,,,,,,,,,1,,,1,1,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,1,1,,1,1,1,1,,,1,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,1,1,,,1,1,1,,,,,,,,,,,,1,,1,1,1,1,,1,1,1,1,,1,,,,,1,,,,,
Childrens Supportive Services,,224 Evans Lane,,Pocatello,ID,83202,,Bannock,208+AC0-237+AC0-4782,Intake,208+AC0-237+AC0-4782,,,,,,,Shawna,,Tobin,,,,,,,,,,,,42.91624,+AC0-112.46353,MH,3/5/2015 19:48:32,1,1,1,1,,,1,,,1,1,,,,,,,,,1,,,1,1,,,,1,,,,,,,,,,,,,,,1,,,,,1,,,1,1,1,1,1,1,1,1,,,1,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,1,1,,,,,,,,,1,,,1,,1,1,1,1,,1,1,1,1,,1,,,,,1,,,,,
West Valley Medical Center,Behavioral Health,1717 Arlington Avenue,,Caldwell,ID,83605,,Canyon,208+AC0-455+AC0-3777,Intake,208+AC0-455+AC0-3777,,,,,http://westvalleymedctr.com/,,Glenda,,Nelson,,,,,,,,,,,,43.654968,+AC0-116.6935,MH,3/5/2015 19:48:32,1,,1,1,,1,1,,1,,,,,1,1,,1,,,,,,1,1,1,,,,1,,,,,,,,,,,,,,1,,,,1,1,1,,1,1,,,1,1,1,,1,,1,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,1,,1,1,,,,,,1,,,,1,,,1,1,1,1,1,,1,1,1,1,,1,,,,,1,,,,,
Counseling Clinic at Youth Renewal,Services/Ashton Memorial Inc,1301 East 17th Street,Suite 4,Idaho Falls,ID,83404,6273,Bonneville,208+AC0-523+AC0-0787,Intake,208+AC0-523+AC0-0787,,,,,http://www.ashtonmemorial.com/,,Shon,,Shuldberg,,,,,,1301 East 17th Street,Suite 4,Idaho Falls,ID,83404,6273,43.482801,+AC0-112.008154,MH,3/5/2015 19:48:32,1,1,1,1,,,,1,1,1,1,,,,,,,1,,1,,,1,,,,,1,1,,,,,,,,,,,,,,1,,,,1,1,1,,,1,,,1,,1,1,,,1,,,,1,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,,1,1,1,1,,1,,,,,1,,,,,
Rehabilitive Health Services,Mackay,610 West Custer Street,Suite D,Mackay,ID,83251,,Custer,208+AC0-588+AC0-2770,Intake,208+AC0-588+AC0-2770,,,,,,,,,,,,,,,P.O. Box 2106 ,,Idaho Falls,ID,83403,,43.916843,+AC0-113.615536,MH,7/2/2015 15:0:17,1,1,1,1,,1,1,1,,1,1,,1,1,,,,,1,1,,,1,,1,,1,1,,,,,,,,,,,,,,,1,1,1,,1,1,1,,1,1,1,,1,,1,1,1,,1,,,,,,,,,,,,,,,1,1,,,1,,,,,,,,,,,,,1,,,,,,,1,,1,1,1,,,,,,,,,,,,,1,1,1,1,1,1,,1,1,1,1,,1,,,,,1,,,,,
Pettingill Counseling Services PC,,2100 Niagara Street,,Idaho Falls,ID,83404,,Bonneville,208+AC0-542+AC0-9919,Intakes,208+AC0-542+AC0-9919,208+AC0-541+AC0-6528,,,,,,,,,,,,,,,,,,,,43.480636,+AC0-111.992858,MH,3/5/2015 19:48:32,1,1,1,1,1,,1,1,1,1,1,,1,,1,1,,1,,1,1,1,1,1,,,1,1,1,,,,,,,,,,,,,,1,1,1,1,,1,1,,1,1,1,1,1,1,1,1,1,,1,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,1,1,,1,1,,1,1,1,,1,1,,1,1,1,1,1,,1,,,,,,,,,1,1,1,1,1,1,,1,1,1,1,,1,,,,,1,,,,,
Sullivan Mental Health Services LLC,,1904 Jennie Lee Drive,,Idaho Falls,ID,83404,,Bonneville,208+AC0-523+AC0-1558,Intake,208+AC0-523+AC0-1558,,,,,,,Elaine,,Sullivan,,,,,,660 South Woodruff Street,,Idaho Falls,ID,83401,,43.481478,+AC0-112.016081,MH,3/5/2015 19:48:32,1,1,1,1,,,1,1,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,1,,,1,,,1,,,1,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,1,1,,1,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,,1,1,1,1,,1,,,,,1,,,,,
Rehabilitative Health Services,,1970 East 17th Street,,Idaho Falls,ID,83404,,Bonneville,208+AC0-523+AC0-5319,Intake,208+AC0-523+AC0-5319,,,,,,,Devere,,Hunt,,,,,,,,,,,,43.481948,+AC0-111.99459,MH,3/5/2015 19:48:32,1,1,1,1,,1,,,,,1,,,,1,,,,,,,,1,1,,,,1,,,,,,,,,,,,,,,1,1,1,,1,1,1,,,1,,,1,1,,1,1,,1,,,1,1,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,1,,,,,,,1,,,1,1,,,,,,,,,,1,,,1,1,1,1,1,1,,1,1,1,1,,1,,,,,1,,,,,
Portneuf Valley Family Center Inc,,353 North 4th Avenue,Suite 110,Pocatello,ID,83201,,Bannock,208+AC0-233+AC0-7832,Intakes,208+AC0-233+AC0-7832,208+AC0-233+AC0-7833,,,,,,David,L,Sorensen,,,,,,353 North 4th Avenue,Suite 110,Pocatello,ID,83201,6391,42.867817,+AC0-112.446774,MH,3/5/2015 19:48:32,1,1,1,1,,,1,1,,,1,,,,,,,,,1,,,1,,,,,1,,,,,,,,,,,,,,,,,,,1,1,1,,1,1,,,1,1,1,1,,,1,,,1,,1,,,,,,,,,,,1,,,,,,,,,,,,1,,,1,,,1,1,1,,1,1,,1,1,1,1,,,1,,,,1,,1,,,1,1,1,1,1,1,,1,1,1,1,,1,,,,,1,,,,,
Leyline Advocates,,333 West Rossi Street,Suite 300,Boise,ID,83706,,Ada,208+AC0-344+AC0-9797,Intake,208+AC0-344+AC0-9797,,,,,http://www.leylinemh.com,,Jim,,Daniels,,,,,,290 West Bobwhite Court,Suite 300,Boise,ID,83706,6653,43.598335,+AC0-116.185215,MH,3/5/2015 19:48:32,1,1,1,1,,,1,1,,,1,1,1,1,1,,,,,1,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,1,,1,,,1,1,1,1,1,1,,1,1,1,1,,1,,,,,1,,,,,
Life Counseling Center,,112 12th Avenue Road,,Nampa,ID,83686,,Canyon,208+AC0-465+AC0-5433,Intake,208+AC0-465+AC0-5433,,,,,http://www.lifecounselingcenter.net,,,,,,,,,,,,,,,,43.568503,+AC0-116.572821,MH,3/5/2015 19:48:32,1,1,1,1,,,1,1,1,1,1,,1,,,,,,,1,,,1,1,1,,,,1,,,,,,,,,,,,,,1,1,1,,1,1,1,,1,1,1,1,1,1,1,1,1,,1,,,1,1,,,,,,,,,,,1,1,,,,,,,,,,,,1,,,1,1,,1,,1,,,1,,,1,,1,1,,1,,,1,,,1,,,1,1,1,1,1,1,,1,1,1,1,,1,,,,,1,,,,,
Alpine Counseling,,2235 East 25th Street,Suite 220,Idaho Falls,ID,83404,,Bonneville,208+AC0-522+AC0-9812,Intake,208+AC0-522+AC0-9812,,,,,,,Susan, ,Heng,,,,,,,,,,,,43.476423,+AC0-111.989682,MH,3/5/2015 19:48:32,1,1,1,1,,,,1,1,,1,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,1,,,,1,1,1,,1,1,1,1,1,1,1,1,,,1,,,1,1,1,,,,,,,,,,,1,,,,,,,,,,,,1,,,,1,,1,,1,,1,1,,1,1,1,1,1,,1,,,1,,,,,,1,1,1,1,1,1,,1,1,1,1,,1,,,,,1,,,,,
Allstar Counseling Services,Mandy J Luis,550 2nd Street,Suite 292,Idaho Falls,ID,83401,,Bonneville,208+AC0-529+AC0-2211,Intake,208+AC0-529+AC0-2211,,,,,,,Mandy,,Luis,,,,,,,,,,,,43.495875,+AC0-112.022234,MH,3/5/2015 19:48:32,1,1,1,1,1,1,1,,1,1,,,1,,,,,,,1,,,1,,,,,1,,,,,,,,,,,,,,,1,1,1,1,,1,1,,1,1,,,1,1,1,1,1,,1,,,1,1,1,,,,,,,,,,,1,,,,,,,,,,,,,1,,1,1,,,1,1,,1,1,,1,1,1,1,1,,1,,,1,1,,1,1,,,1,1,1,1,1,1,1,1,1,1,,1,,,,,1,,,,,
Living Hope Clinic,,3308 North Cole Road,Suite A,Boise,ID,83704,,Ada,208+AC0-378+AC0-1122,Intake,208+AC0-378+AC0-1122,,,,,http://www.livinghopeclinic.org,Dr,Charles,,Rice,,,,,,,,,,,,43.634573,+AC0-116.273663,MH,3/5/2015 19:48:32,1,1,1,1,,1,,1,,,1,,,1,,,1,,,,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,1,,,1,1,1,1,1,,1,,,,1,,,,,,,,,,,1,1,,,,,,,,,,,,1,,,1,1,,,,1,,1,1,,1,1,1,1,1,,1,,,,,,,,,1,,1,1,1,1,,,1,1,,1,1,,,,,1,,,,,
Real Solutions Counseling,,1011 West Williams Street,,Boise,ID,83706,,Ada,208+AC0-911+AC0-0222,Intake,208+AC0-991+AC0-0222,,,,,,,Jim,,Grigg,,,,,,1914 Summerwind Place,,Kuna,ID,83634,,43.590611,+AC0-116.194732,MH,3/5/2015 19:48:32,1,1,1,1,,,1,1,,1,1,,1,,,,,,1,1,,,1,1,1,,,1,,,,,,,,,,,,,,,1,,,,1,1,1,,1,1,1,1,1,1,1,1,1,,1,,,,1,,,,,,,,,,,1,1,,,,,,,,,,,,1,,,,,,,,1,,,1,,,1,1,,1,,,,,,1,,1,,,1,1,1,1,1,,,1,1,1,,1,1,,,,,1,,,,,
Snake River Counsleing Services,,2235 East 25th Street,Suite 290,Idaho Falls,ID,83404,,Bonneville,208+AC0-552+AC0-0490x2,Intakes,208+AC0-552+AC0-0490+AC0-2,208+AC0-552+AC0-0490+AC0-1,,,,,,Kevin,G,Clark,,,,,,,,,,,,43.476112,+AC0-111.989553,MH,3/5/2015 19:48:32,1,1,1,1,,,,1,1,1,1,,,1,,,,,,,,,1,,1,,,1,1,,,,,,,,,,,,,,1,,,,1,1,1,,1,1,1,1,1,1,1,1,1,,1,,,1,1,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,1,1,1,1,,1,1,1,,1,1,,,,,1,,,,,
Alliance Family Services North,Moscow,212 Rodeo Drive,Suite 410,Moscow,ID,83843,,Latah,208+AC0-882+AC0-5960,Intake,208+AC0-882+AC0-5960,,,,,www.alliancefamilyservices.com,,Tracey,,Lange,,,,,,217 6th Street,Suite 208,Moscow,ID,83843,,46.744643,+AC0-116.999697,MH,3/5/2015 19:48:32,1,1,1,1,,,1,1,1,,1,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,1,1,1,1,1,1,1,1,,,1,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,1,,,,,1,,1,1,1,1,,,,,,1,,,1,,,1,1,1,1,1,1,,1,1,1,,1,1,,,,,1,,,,,
Human Dynamics and Diagnostics,,803 Monroe Street,Suite 2,Salmon,ID,83467,,Lemhi,208+AC0-756+AC0-2344,Intake,208+AC0-756+AC0-2344,,,,,www.humandynamicsid.com,,Diane,,Southwell,,,,,,803 Monroe Street,,Salmon,ID,83467,,45.182461,+AC0-113.905358,MH,3/5/2015 19:48:32,1,1,,1,1,,1,1,1,1,1,,1,1,1,,,,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,1,1,1,,,,1,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,1,1,1,1,1,1,,,1,1,1,1,1,,,,,1,,,,,
Idaho State Hospital South,,700 East Alice Street,,Blackfoot,ID,83221,,Bingham,208+AC0-785+AC0-8402,Intake,208+AC0-785+AC0-1200,,,,,http://www.healthandwelfare.idaho.gov/Medical/MentalHealth/StateHospitals/tabid/495/Def,,Tracey,,Sessions,,,,,,P.O. Box 400,,Blackfoot,ID,83221,0400,43.187085,+AC0-112.336338,MH,3/5/2015 19:48:32,1,1,1,1,,,,,1,1,,,,1,1,,1,1,1,,,,1,1,1,,,1,,,,,,,,,1,,,,,,1,,,,1,1,1,,1,1,1,1,1,1,1,1,1,,1,,,,1,,,1,,,,,,,,,,,,,1,,,,,,,,,,,1,1,,,,,,,,,,1,1,,,,,,,1,,,1,1,,,1,1,1,1,,,1,1,1,1,1,1,,,,,1,,,,,
Saint Joseph Regional Medical Center,,415 6th Street,,Lewiston,ID,83501,,Nez Perce,208+AC0-743+AC0-2511,Intakes,208+AC0-799+AC0-6500,208+AC0-799+AC0-5700,,,,,,Michael,,Rooney,,,,,,,,,,,,46.416496,+AC0-117.024978,MH,3/5/2015 19:48:32,1,,1,1,,,,,1,1,,,,,,,,,,,,,1,1,1,,,1,1,,,,,,,,,,,,,,1,,,1,1,1,1,,1,1,,,1,1,1,,1,,1,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,1,,,,1,,,1,1,1,,1,,1,1,1,1,1,1,,,,,1,,,,,
Bear Lake Memorial Hospital MH,,822 Washington Street,,Montpelier,ID,83254,,Bear Lake,208+AC0-847+AC0-4464,Intake,208+AC0-847+AC0-4464,,,,,http://blmhospital.com,,Shaun,D,Tobler,,,,,,164 South 5th Street,,Montpelier,ID,83254,,42.317674,+AC0-111.307621,MH,3/5/2015 19:48:32,1,1,1,1,,,,1,1,,1,,,1,,,1,1,,1,,,1,1,1,,,1,1,,,,,,1,,,,,,,,1,,,,1,1,1,,,1,1,,1,1,,1,1,,1,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,1,,1,1,,,,1,,1,1,,,1,1,1,1,,,,,,,,,1,,,,1,1,1,1,,1,1,1,1,1,1,,,,,1,,,,,
Tueller Counseling Inc,,2275 West Broadway Street,Suite G,Idaho Falls,ID,83402,,Bonneville,208+AC0-524+AC0-7400,Intakes,208+AC0-524+AC0-7400,208+AC0-524+AC0-7400,,,,,,Thomas,E,Tueller,,,,,,2275 West Broadway Street,Suite G,Idaho Falls,ID,83402,2907,43.496344,+AC0-112.076657,MH,3/5/2015 19:48:32,1,1,1,1,1,,1,1,,1,1,1,1,1,1,,,,1,1,1,1,1,,,,1,1,,,,,,,,,,,,,,,1,,,,,1,,,1,1,1,1,1,1,1,1,,,1,,,,1,,,,,,,,,,,1,1,,,1,,,,,,,,,1,,,1,1,,1,,1,,1,1,,1,1,1,1,1,,1,,,,,,1,1,,,1,1,1,1,1,,1,1,1,1,1,1,,,,,1,,,,,
Alliance Family Services Inc,Twin Falls,650 Addison Avenue West,Suite 103,Twin Falls,ID,83301,5475,Twin Falls,208+AC0-737+AC0-0572,Intakes,208+AC0-737+AC0-0572,877+AC0-805+AC0-3486,,,,http://www.alliancefamilyservices.net/,,Stacy,,Stephens,,Owner,,,,488 Blue Lakes Boulevard North,Suite 102,Twin Falls,ID,83301,,42.565016,+AC0-114.493591,MH,3/5/2015 19:48:32,1,1,1,1,,,1,1,1,,1,,,,,,,1,1,1,,,1,1,,,,1,1,,,,,,,,,,,,,,,,,,1,1,,,1,1,1,,1,,1,,,,1,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,1,1,,,,,,,1,,1,1,1,1,,,,,,1,1,,1,,,1,1,1,1,1,1,,1,1,1,1,1,1,,,,,1,,,,,
SunHealth Behavioral Health System,for Boise,8050 West Northview Street,,Boise,ID,83704,,Ada,208+AC0-327+AC0-0504,Intake,208+AC0-327+AC0-0504,,,,,,,Philip,,Herink,,,,,,,,,,,,43.627163,+AC0-116.282364,MH,3/5/2015 19:48:32,1,,1,1,,1,1,,1,1,1,1,1,1,1,,1,1,1,1,,,1,1,1,,,1,1,,,,,,,,,,,,,,1,1,,,1,1,,,,1,,,1,,1,,,,1,,,,,,,1,,,,,,,,,1,,,,1,,,,,,,,,,,,1,,,,,,,1,,1,,1,1,,,,,,1,,,1,,,1,1,1,1,1,1,,1,1,1,1,1,1,,,,,1,,,,,
Idaho Behavioral Health,Moutain Home,2420 American Legion Boulevard,,Mountain Home,ID,83647,,Elmore,208+AC0-580+AC0-9525,,,,,,,,,Pamela,M,Hooper,,,,,,1993 East 8th North,,Mountain Home,ID,83647,,43.134174,+AC0-115.669332,MH,3/5/2015 19:48:32,1,1,1,1,1,,1,1,,,1,,1,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,1,,,1,,,,,,1,,,1,,1,,,,,,,,,,,1,,,,,,,,,,,,1,,,1,1,,1,,1,,,1,,1,1,1,1,,,1,,,1,,,1,,,1,1,1,1,1,1,,1,1,1,1,1,1,,,,,1,,,,,
Sequoia Counseling Services Inc,,531 Bryden Avenue,,Lewiston,ID,83501,,Nez Perce,208+AC0-798+AC0-1646,Intakes,208+AC0-798+AC0-5494,208+AC0-798+AC0-1646,,,,,,Diana,,Uppendahl,,,,,,,,,,,,46.380599,+AC0-117.003827,MH,3/5/2015 19:48:32,1,1,1,1,,,,1,,,1,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,1,1,,1,1,1,1,1,,1,1,,,1,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,1,1,,,,1,,,1,,,,,1,,,,,
LifeMatters Counseling Services LLC,,4696 West Overland Road,Suite 268,Boise,ID,83705,,Ada,208+AC0-383+AC0-0072,Intake,208+AC0-383+AC0-0072,,,,,,,Marjorie,,Bolles,,,,,,,,,,,,43.590148,+AC0-116.239742,MH,3/5/2015 19:48:32,1,,1,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,1,,,,,,1,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,1,,,,,1,,,,,,,,1,,,,,
